LEADER_PERCENTILE,LEADER_RANK,METRIC,NUM_COMPETITORS,PUBLIC_ERROR,SCORE,STATUS,dataset,fold,framework,metric_error,metric_score,problem_type,time_train_s
0.650931535,5695.0,AUC,8749,0.10712999999999999,0.89126,,santander-customer-transaction-prediction,0,autosklearn_8h,0.10874,-0.10874,binary,28797.977460000002
0.536461388,2744.0,AUC,5115,0.16228,0.8238700000000001,,santander-customer-satisfaction,0,autosklearn_8h,0.17613,-0.17613,binary,28797.498610000002
0.640931135,3304.0,Gini,5155,0.7284,0.2777,,porto-seguro-safe-driver-prediction,0,autosklearn_8h,0.7223,-0.7223,binary,28797.602389999996
0.673125394,4273.0,AUC,6348,0.072656,0.900958,,ieee-fraud-detection,0,autosklearn_8h,0.09904199999999999,-0.09904199999999999,binary,28805.7653
0.607861937,634.0,Log-Loss,1043,2.0471,2.0446299999999997,,walmart-recruiting-trip-type-classification,0,autosklearn_8h,2.0446299999999997,-2.0446299999999997,multiclass,28826.041060000003
0.28131241100000004,986.0,Log-Loss,3505,0.46623000000000003,0.4672,,otto-group-product-classification-challenge,0,autosklearn_8h,0.4672,-0.4672,multiclass,28800.719060000003
0.579253612,2887.0,RMSLE,4984,0.14585,0.14585,,house-prices-advanced-regression-techniques,0,AutoWEKA_4h,0.14585,-0.14585,regression,12435.88642
0.875533662,2666.0,MAE,3045,1383.9283699999999,1395.03429,,allstate-claims-severity,0,AutoWEKA_4h,1395.03429,-1395.03429,regression,14079.096480000002
0.839089482,3207.0,R2,3822,0.45488999999999996,0.52557,,mercedes-benz-greener-manufacturing,0,AutoWEKA_4h,0.47443,-0.47443,regression,12152.87273
0.8859000220000001,3952.0,RMSLE,4461,1.8001900000000002,1.80003,,santander-value-prediction-challenge,0,AutoWEKA_4h,1.80003,-1.80003,regression,20301.23581
0.806849315,2356.0,Log-Loss,2920,0.48972,0.49081,,bnp-paribas-cardif-claims-management,0,AutoWEKA_4h,0.49081,-0.49081,binary,12561.3287
0.868556406,7599.0,AUC,8749,0.31824,0.68001,,santander-customer-transaction-prediction,0,AutoWEKA_4h,0.31999,-0.31999,binary,15342.12221
0.7642228740000001,3909.0,AUC,5115,0.1916,0.79401,,santander-customer-satisfaction,0,AutoWEKA_4h,0.20599,-0.20599,binary,12973.74093
0.841319108,4337.0,Gini,5155,0.75858,0.24074,,porto-seguro-safe-driver-prediction,0,AutoWEKA_4h,0.75926,-0.75926,binary,12639.58404
0.8802772529999999,5588.0,AUC,6348,0.199978,0.772521,,ieee-fraud-detection,0,AutoWEKA_4h,0.227479,-0.227479,binary,17219.53478
0.854493581,2995.0,Log-Loss,3505,5.4272599999999995,5.438,,otto-group-product-classification-challenge,0,AutoWEKA_4h,5.438,-5.438,multiclass,15913.6202
0.468699839,2336.0,RMSLE,4984,0.13551,0.13551,,house-prices-advanced-regression-techniques,0,AutoWEKA_8h,0.13551,-0.13551,regression,25073.15747
0.875533662,2666.0,MAE,3045,1383.9283699999999,1395.03429,,allstate-claims-severity,0,AutoWEKA_8h,1395.03429,-1395.03429,regression,25919.822780000002
0.8854003140000001,3384.0,R2,3822,0.47912,0.50888,,mercedes-benz-greener-manufacturing,0,AutoWEKA_8h,0.49112,-0.49112,regression,27473.9171
0.8859000220000001,3952.0,RMSLE,4461,1.8001900000000002,1.80003,,santander-value-prediction-challenge,0,AutoWEKA_8h,1.80003,-1.80003,regression,32472.56388
0.806849315,2356.0,Log-Loss,2920,0.49017,0.49103,,bnp-paribas-cardif-claims-management,0,AutoWEKA_8h,0.49103,-0.49103,binary,25059.17879
0.774488513,6776.0,AUC,8749,0.17539000000000002,0.82484,,santander-customer-transaction-prediction,0,AutoWEKA_8h,0.17515999999999998,-0.17515999999999998,binary,26004.63412
0.7642228740000001,3909.0,AUC,5115,0.1916,0.79401,,santander-customer-satisfaction,0,AutoWEKA_8h,0.20599,-0.20599,binary,24299.37634
0.841319108,4337.0,Gini,5155,0.75858,0.24074,,porto-seguro-safe-driver-prediction,0,AutoWEKA_8h,0.75926,-0.75926,binary,25055.14108
0.881064902,5593.0,AUC,6348,0.20041199999999998,0.770306,,ieee-fraud-detection,0,AutoWEKA_8h,0.229694,-0.229694,binary,32257.97635
0.854493581,2995.0,Log-Loss,3505,5.4272599999999995,5.438,,otto-group-product-classification-challenge,0,AutoWEKA_8h,5.438,-5.438,multiclass,29739.85344
0.356741573,1778.0,RMSLE,4984,0.12797999999999998,0.12797999999999998,,house-prices-advanced-regression-techniques,0,TPOT_4h,0.12797999999999998,-0.12797999999999998,regression,16354.75635
0.762561576,2322.0,MAE,3045,1222.95668,1235.94961,,allstate-claims-severity,0,TPOT_4h,1235.94961,-1235.94961,regression,15975.789840000001
0.452642595,1730.0,R2,3822,0.44723,0.5473399999999999,,mercedes-benz-greener-manufacturing,0,TPOT_4h,0.45266000000000006,-0.45266000000000006,regression,17584.51814
0.674512441,3009.0,RMSLE,4461,1.4973100000000001,1.44382,,santander-value-prediction-challenge,0,TPOT_4h,1.44382,-1.44382,regression,18707.19704
0.539726027,1576.0,Log-Loss,2920,0.46052,0.45912,,bnp-paribas-cardif-claims-management,0,TPOT_4h,0.45912,-0.45912,binary,7342.293715000001
0.673676992,5894.0,AUC,8749,0.11150999999999998,0.88764,,santander-customer-transaction-prediction,0,TPOT_4h,0.11235999999999999,-0.11235999999999999,binary,16530.05283
