acc,auc,dataset,fold,framework,id,info,logloss,metric_error,metric_score,mode,models,models_ensemble,params,problem_type,seed,tag,time_infer_s,time_train_s,utc,version
0.9822,0.842369,KDDCup09_appetency,0,autogluon_nobag_1h,openml.org/t/3945,,,0.15763099999999997,0.842369,local,11.0,11.0,,binary,2062685772,stable,9.84502,1383.1,2020-02-03T08:55:21,0.0.5
0.99375,0.999922,kr-vs-kp,0,autogluon_nobag_1h,openml.org/t/3,,,7.80000000000225e-05,0.999922,local,9.0,9.0,,binary,633338760,stable,0.109799,30.7,2020-02-03T08:30:47,0.0.5
0.97,,mfeat-factors,0,autogluon_nobag_1h,openml.org/t/12,,0.0853715,0.0853715,0.0853715,local,11.0,11.0,,multiclass,3833145292,stable,0.43292,257.4,2020-02-03T08:34:40,0.0.5
0.946875,0.986143,MiniBooNE,0,autogluon_nobag_1h,openml.org/t/168335,,,0.013857000000000008,0.986143,local,11.0,11.0,,binary,923933799,stable,3.60628,538.7,2020-02-03T08:41:02,0.0.5
0.97418,0.995902,nomao,0,autogluon_nobag_1h,openml.org/t/9977,,,0.004098000000000046,0.995902,local,11.0,11.0,,binary,3070707787,stable,2.63242,117.1,2020-02-03T08:33:49,0.0.5
0.5167149999999999,0.521303,numerai28.6,0,autogluon_nobag_1h,openml.org/t/167120,,,0.47869700000000004,0.521303,local,11.0,11.0,,binary,940116387,stable,11.0541,308.2,2020-02-03T08:37:43,0.0.5
0.909427,0.970463,phoneme,0,autogluon_nobag_1h,openml.org/t/9952,,,0.029537000000000035,0.970463,local,11.0,11.0,,binary,1237738354,stable,0.466722,41.5,2020-02-03T08:31:04,0.0.5
0.996,0.999684,riccardo,0,autogluon_nobag_1h,openml.org/t/168338,,,0.00031599999999998296,0.999684,local,11.0,11.0,,binary,1787036538,stable,6.47213,1656.9,2020-02-03T09:18:48,0.0.5
0.527,,Robert,0,autogluon_nobag_1h,openml.org/t/168332,,1.32138,1.32138,1.32138,local,10.0,10.0,,multiclass,2244058436,stable,31.9689,3663.8,2020-02-03T09:52:23,0.0.5
0.991342,,segment,0,autogluon_nobag_1h,openml.org/t/146822,,0.06870520000000001,0.06870520000000001,0.06870520000000001,local,11.0,11.0,,multiclass,3490754112,stable,0.379497,37.4,2020-02-03T08:31:05,0.0.5
0.999655,,Shuttle,0,autogluon_nobag_1h,openml.org/t/146212,,0.000982111,0.000982111,0.000982111,local,11.0,11.0,,multiclass,2315007141,stable,0.0290103,310.5,2020-02-03T08:36:55,0.0.5
0.935673,0.983645,sylvine,0,autogluon_nobag_1h,openml.org/t/168912,,,0.01635500000000001,0.983645,local,11.0,11.0,,binary,4124635786,stable,0.547665,25.3,2020-02-03T08:30:53,0.0.5
0.847059,,vehicle,0,autogluon_nobag_1h,openml.org/t/53,,0.402735,0.402735,0.402735,local,11.0,11.0,,multiclass,1287681058,stable,0.191538,17.6,2020-02-03T08:30:52,0.0.5
0.716515,,Volkert,0,autogluon_nobag_1h,openml.org/t/168331,,0.787483,0.787483,0.787483,local,11.0,11.0,,multiclass,4046790906,stable,6.12147,900.5,2020-02-03T08:47:38,0.0.5
0.876561,0.932329,adult,0,autogluon_noknn_1h,openml.org/t/7592,,,0.06767100000000004,0.932329,local,9.0,9.0,,binary,590154108,stable,0.13031900000000002,661.0,2020-02-03T08:50:46,0.0.5
0.67187,0.72631,Airlines,0,autogluon_noknn_1h,openml.org/t/189354,,,0.27369,0.72631,local,8.0,8.0,,binary,2147373655,stable,14.0692,3811.5,2020-02-03T09:47:36,0.0.5
0.691821,0.76399,Albert,0,autogluon_noknn_1h,openml.org/t/189356,,,0.23601000000000005,0.76399,local,9.0,9.0,,binary,3934918860,stable,0.60961,1563.0,2020-02-03T09:14:31,0.0.5
0.947818,0.873052,Amazon_employee_access,0,autogluon_noknn_1h,openml.org/t/34539,,,0.12694799999999995,0.873052,local,9.0,9.0,,binary,3914696084,stable,0.250367,212.6,2020-02-03T08:43:20,0.0.5
