DATASET,MODEL_NAME,METRIC_ERROR,TIME_TRAIN_S,PUBLIC_ERROR,METRIC,PROBLEM_TYPE,STATUS,SCORE,LEADER_RANK,NUM_COMPETITORS,LEADER_PERCENTILE
santander-value-prediction-challenge,GoogleAutoMLTables_4h,,,,RMSLE,regression,Failed,,,4461,
santander-value-prediction-challenge,GoogleAutoMLTables_8h,,,,RMSLE,regression,Failed,,,4461,
bnp-paribas-cardif-claims-management,autogluon_4h,0.4373,9211.355881,0.43908,Log-Loss,binary,,0.4373,39,2920,0.013356164
bnp-paribas-cardif-claims-management,autogluon_8h,0.43685,22932.83137,0.43872,Log-Loss,binary,,0.43685,39,2920,0.013356164
bnp-paribas-cardif-claims-management,autosklearn_4h,0.46121,14397.95713,0.46335,Log-Loss,binary,,0.46121,1716,2920,0.587671233
bnp-paribas-cardif-claims-management,autosklearn_8h,0.46035,28797.66649,0.46224,Log-Loss,binary,,0.46035,1682,2920,0.576027397
bnp-paribas-cardif-claims-management,AutoWEKA_4h,0.49081,12561.3287,0.48972,Log-Loss,binary,,0.49081,2356,2920,0.806849315
bnp-paribas-cardif-claims-management,AutoWEKA_8h,0.49103,25059.17879,0.49017,Log-Loss,binary,,0.49103,2356,2920,0.806849315
bnp-paribas-cardif-claims-management,TPOT_4h,0.45912,7342.293715,0.46052,Log-Loss,binary,,0.45912,1576,2920,0.539726027
bnp-paribas-cardif-claims-management,TPOT_8h,0.4578,32107.98871,0.45947,Log-Loss,binary,,0.4578,1426,2920,0.488356164
bnp-paribas-cardif-claims-management,H2OAutoML_4h,0.46085,14507.99023,0.46388,Log-Loss,binary,,0.46085,1700,2920,0.582191781
bnp-paribas-cardif-claims-management,H2OAutoML_8h,0.45933,29964.26689,0.46212,Log-Loss,binary,,0.45933,1597,2920,0.546917808
bnp-paribas-cardif-claims-management,GoogleAutoMLTables_4h,0.45978,15105.3612,0.4616,Log-Loss,binary,,0.45978,1634,2920,0.559589041
bnp-paribas-cardif-claims-management,GoogleAutoMLTables_8h,0.46014,29266.41833,0.46184,Log-Loss,binary,,0.46014,1663,2920,0.569520548
santander-customer-transaction-prediction,autogluon_4h,0.10414,12025.77496,0.10213,AUC,binary,,0.89586,5190,8749,0.593210653
santander-customer-transaction-prediction,autogluon_8h,0.1036,28840.13639,0.10154,AUC,binary,,0.8964,5006,8749,0.572179678
santander-customer-transaction-prediction,autosklearn_4h,0.1119,14397.39531,0.11057,AUC,binary,,0.8881,5866,8749,0.670476626
santander-customer-transaction-prediction,autosklearn_8h,0.10874,28797.97746,0.10713,AUC,binary,,0.89126,5695,8749,0.650931535
santander-customer-transaction-prediction,AutoWEKA_4h,0.31999,15342.12221,0.31824,AUC,binary,,0.68001,7599,8749,0.868556406
santander-customer-transaction-prediction,AutoWEKA_8h,0.17516,26004.63412,0.17539,AUC,binary,,0.82484,6776,8749,0.774488513
santander-customer-transaction-prediction,TPOT_4h,0.11236,16530.05283,0.11151,AUC,binary,,0.88764,5894,8749,0.673676992
santander-customer-transaction-prediction,TPOT_8h,0.11236,39275.29503,0.11151,AUC,binary,,0.88764,5894,8749,0.673676992
santander-customer-transaction-prediction,H2OAutoML_4h,,,,AUC,binary,Failed,,,8749,
santander-customer-transaction-prediction,H2OAutoML_8h,0.11896,28864.8069,0.11751,AUC,binary,,0.88104,6089,8749,0.695965253
santander-customer-transaction-prediction,GoogleAutoMLTables_4h,0.10422,16494.58351,0.10192,AUC,binary,,0.89578,5211,8749,0.595610927
santander-customer-transaction-prediction,GoogleAutoMLTables_8h,0.10588,31433.83131,0.10454,AUC,binary,,0.89412,5465,8749,0.624642816
santander-customer-satisfaction,autogluon_4h,0.17346,9963.692321,0.1612,AUC,binary,,0.82654,901,5115,0.176148583
santander-customer-satisfaction,autogluon_8h,0.17825,26801.95489,0.16963,AUC,binary,,0.82175,3074,5115,0.600977517
santander-customer-satisfaction,autosklearn_4h,0.17782,14396.90619,0.16308,AUC,binary,,0.82218,3023,5115,0.591006843
santander-customer-satisfaction,autosklearn_8h,0.17613,28797.49861,0.16228,AUC,binary,,0.82387,2744,5115,0.536461388
santander-customer-satisfaction,AutoWEKA_4h,0.20599,12973.74093,0.1916,AUC,binary,,0.79401,3909,5115,0.764222874
santander-customer-satisfaction,AutoWEKA_8h,0.20599,24299.37634,0.1916,AUC,binary,,0.79401,3909,5115,0.764222874
santander-customer-satisfaction,TPOT_4h,0.17575,17594.70097,0.16516,AUC,binary,,0.82425,2578,5115,0.50400782
santander-customer-satisfaction,TPOT_8h,0.17581,11037.48708,0.1655,AUC,binary,,0.82419,2626,5115,0.513391984
santander-customer-satisfaction,H2OAutoML_4h,0.17406,13984.46203,0.1606,AUC,binary,,0.82594,1325,5115,0.259042033
santander-customer-satisfaction,H2OAutoML_8h,0.17484,27253.87286,0.16042,AUC,binary,,0.82516,1958,5115,0.382795699
santander-customer-satisfaction,GoogleAutoMLTables_4h,0.17381,17154.5394,0.16059,AUC,binary,,0.82619,1209,5115,0.236363636
santander-customer-satisfaction,GoogleAutoMLTables_8h,0.17403,32927.48213,0.1619,AUC,binary,,0.82597,1307,5115,0.255522972
porto-seguro-safe-driver-prediction,autogluon_4h,0.7176,12660.53136,0.72296,Gini,binary,,0.2824,2769,5155,0.5371484
