id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,models_ensemble,predict_duration
openml.org/t/34539,Amazon_employee_access,AutoPilot,5,,local,1.0,,stable,2020-02-04T16:37:42,1.3,,2763709449,AssertionError: config.fold must be 0 when running AutoPilot! Value: 5,,,
openml.org/t/34539,Amazon_employee_access,AutoPilot,6,,local,1.0,,stable,2020-02-04T16:37:43,1.3,,2763709450,AssertionError: config.fold must be 0 when running AutoPilot! Value: 6,,,
openml.org/t/34539,Amazon_employee_access,AutoPilot,7,,local,1.0,,stable,2020-02-04T16:37:44,1.3,,2763709451,AssertionError: config.fold must be 0 when running AutoPilot! Value: 7,,,
openml.org/t/34539,Amazon_employee_access,AutoPilot,8,,local,1.0,,stable,2020-02-04T16:37:45,1.1,,2763709452,AssertionError: config.fold must be 0 when running AutoPilot! Value: 8,,,
openml.org/t/34539,Amazon_employee_access,AutoPilot,9,,local,1.0,,stable,2020-02-04T16:37:47,1.3,,2763709453,AssertionError: config.fold must be 0 when running AutoPilot! Value: 9,,,
openml.org/t/168868,APSFailure,AutoPilot,0,0.9947370000000001,local,1.0,,stable,2020-02-04T17:44:22,3676.8,10.0,2106399548,,0.9947370000000001,1.0,271.822
openml.org/t/168868,APSFailure,AutoPilot,1,,local,1.0,,stable,2020-02-04T17:44:31,8.2,,2106399549,AssertionError: config.fold must be 0 when running AutoPilot! Value: 1,,,
openml.org/t/168868,APSFailure,AutoPilot,2,,local,1.0,,stable,2020-02-04T17:44:39,8.2,,2106399550,AssertionError: config.fold must be 0 when running AutoPilot! Value: 2,,,
openml.org/t/168868,APSFailure,AutoPilot,3,,local,1.0,,stable,2020-02-04T17:44:47,8.3,,2106399551,AssertionError: config.fold must be 0 when running AutoPilot! Value: 3,,,
openml.org/t/168868,APSFailure,AutoPilot,4,,local,1.0,,stable,2020-02-04T17:44:55,8.3,,2106399552,AssertionError: config.fold must be 0 when running AutoPilot! Value: 4,,,
openml.org/t/168868,APSFailure,AutoPilot,5,,local,1.0,,stable,2020-02-04T17:45:04,8.3,,2106399553,AssertionError: config.fold must be 0 when running AutoPilot! Value: 5,,,
openml.org/t/168868,APSFailure,AutoPilot,6,,local,1.0,,stable,2020-02-04T17:45:12,8.1,,2106399554,AssertionError: config.fold must be 0 when running AutoPilot! Value: 6,,,
openml.org/t/168868,APSFailure,AutoPilot,7,,local,1.0,,stable,2020-02-04T17:45:20,8.3,,2106399555,AssertionError: config.fold must be 0 when running AutoPilot! Value: 7,,,
